"","sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"46","Mees",37,"25-49","Ei","Kesk","Põhi","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Väga vähe",301.331,268.569,NA
"47","Mees",24,"16-24","Ei","Kesk","Kõrg",NA,"Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1276.03,"Väga suurel määral",342.935,356.608,338.532
"48","Naine",42,"25-49","Ei","Põhi","Põhi",NA,"Hõivatud","Hea","Kesk-järgne kutse","Keskmine",749.704,"Mõningal määral",284.436,295.011,259.714
"49","Mees",18,"16-24","Ei","Kõrg",NA,"Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Väga suurel määral",318.023,319.109,345.083
"50","Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",1933.95,"Suurel määral",266.988,287.692,272.935
"51","Mees",23,"16-24","Ei","Põhi","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",468.118,"Väga vähe",308.502,319.69,328.906
"52","Naine",42,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",278,"Mõningal määral",284.206,265.683,NA
"53","Mees",62,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",486.539,"Väga suurel määral",253.364,254.731,251.927
"54","Mees",23,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",1250,"Suurel määral",321.493,281.14,352.189
"55","Mees",41,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",277.847,278.665,282.67
"56","Mees",35,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Väga hea","Põhi","Madal",1183.17,"Mõningal määral",227.107,240.66,262.087
"57","Mees",38,"25-49","Ei","Kõrg","Kesk","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",316.958,288.278,282.859
"58","Naine",48,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",174,"Mõningal määral",239.435,224.116,243.704
"59","Naine",58,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",850,"Mõningal määral",370.536,364.864,336.168
"60","Naine",57,"50+","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1000,"Suurel määral",318.786,322.709,307.171
"61","Mees",45,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Mõningal määral",251.257,296.658,249.114
"62","Naine",65,"50+","Jah","Põhi","Põhi","Ei","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",247.645,203.207,NA
"63","Naine",51,"50+","Jah","Kesk","Põhi","Jah","Töötu","Hea","Kesk","Keskmine",NA,"Väga vähe",326.462,299.843,NA
"64","Naine",16,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",321.451,272.57,288.389
"65","Mees",59,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",618.121,"Suurel määral",289.529,253.645,NA
"66","Mees",32,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1276.03,"Väga suurel määral",385.298,378.691,351.724
"67","Naine",56,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",295.154,271.012,NA
"68","Mees",36,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",881.286,"Suurel määral",267.462,277.021,NA
"69","Mees",20,"16-24","Ei","Kõrg","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",585,"Mõningal määral",320.025,300.423,313.717
"70","Mees",49,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk-järgne kutse","Keskmine",290,"Väga vähe",168.656,197.089,NA
"71","Mees",44,"25-49","Ei","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Põhi","Madal",NA,"Mõningal määral",243.589,272.303,212.778
"72","Mees",46,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",1040,"Väga vähe",283.734,258.458,270.946
"73","Naine",34,"25-49","Jah","Kõrg",NA,"Ei","Töötu","Hea","Põhi","Madal",NA,"Suurel määral",295.925,280.719,NA
"74","Naine",25,"25-49","Jah","Kesk","Kõrg","Jah","Mitteaktiivne","Hea","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",271.598,271.121,309.567
"75","Naine",46,"25-49","Jah","Põhi","Kesk",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",749.704,"Suurel määral",169.822,189.226,160.295
"76","Naine",63,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Hea","Põhi","Madal",NA,"Üldse mitte",223.234,273.581,NA
"77","Naine",54,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",460.223,"Üldse mitte",250.027,232.284,NA
"78","Naine",20,"16-24","Ei","Kõrg","Kõrg","Ei","Töötu","Väga hea","Kesk","Keskmine",NA,"Väga suurel määral",340.003,374.423,363.544
"79","Naine",46,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1144.45,"Suurel määral",340.999,304.623,293.766
"80","Naine",43,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Kesk","Keskmine",NA,"Mõningal määral",292.4,306.395,249.745
"81","Naine",62,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",248.305,278.482,250.687
"82","Mees",17,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Suurel määral",273.505,279.204,271.566
"83","Mees",31,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1407.62,"Suurel määral",287.498,290.153,310.35
"84","Mees",50,"50+","Jah","Põhi","Põhi",NA,"Töötu","Hea","Kesk","Keskmine",NA,"Suurel määral",149.133,136.444,NA
"85","Mees",27,"25-49","Ei","Kesk","Kesk",NA,"Hõivatud","Hea","Kesk","Keskmine",520,"Suurel määral",297.345,314.211,308.444
"86","Mees",22,"16-24","Ei","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Väga suurel määral",399.23,394.359,338.266
"87","Naine",16,"16-24","Ei","Kesk","Kõrg","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Mõningal määral",323.09,292.573,306.017
"88","Naine",23,"16-24","Jah","Kõrg","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",933.919,"Suurel määral",294.447,279.308,307.877
"89","Naine",19,"16-24","Ei","Kesk","Põhi","Ei","Mitteaktiivne","Suurepärane","Kesk","Keskmine",NA,"Suurel määral",286.214,255.313,272.343
"90","Naine",26,"25-49","Jah","Kõrg","Põhi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Üldse mitte",223.079,216.316,NA
"91","Mees",52,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1407.62,"Suurel määral",252.394,275.69,243.294
"92","Mees",59,"50+","Jah","Põhi","Kõrg","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",276.637,270.664,NA
"93","Naine",26,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",728,"Suurel määral",295.994,229.078,242.33
"94","Naine",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Väga vähe",236.875,215.514,233.186
"95","Naine",60,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Hea","Kesk","Keskmine",439.17,"Mõningal määral",258.838,235.283,224.34
"96","Naine",61,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",618.121,"Mõningal määral",246.938,283.115,218.512
"97","Mees",44,"25-49","Jah","Põhi","Põhi",NA,"Hõivatud","Hea","Kesk","Keskmine",449.696,"Suurel määral",282.731,275.653,NA
"98","Mees",50,"50+","Jah","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",313.038,294.334,274.445
"99","Mees",48,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",618.121,"Väga suurel määral",217.431,221.026,204.541
"100","Mees",43,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",730,"Mõningal määral",253.948,263.948,270.112
"101","Naine",30,"25-49","Jah","Kõrg","Kõrg","Jah","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",301.49,289.151,NA
"102","Mees",35,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Suurepärane","Põhi","Madal",NA,"Suurel määral",231.179,273.981,221.993
"103","Mees",61,"50+","Jah","Kõrg","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Väga vähe",217.897,205.427,174.713
"104","Mees",18,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Suurel määral",253.023,210.742,192.808
"105","Naine",52,"50+","Jah","Kesk","Põhi","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",341.798,"Suurel määral",299.426,307.687,NA
"106","Mees",46,"25-49","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",277.673,267.104,NA
"107","Naine",29,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",618.121,"Suurel määral",306.379,266.811,304.455
"108","Mees",20,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",683.913,"Mõningal määral",342.579,305.993,281.039
"109","Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1200,"Mõningal määral",341.944,333.261,297.426
"110","Mees",29,"25-49","Jah","Kõrg","Kõrg","Jah","Mitteaktiivne","Väga hea","Kesk","Keskmine",NA,"Mõningal määral",296.654,299.965,297.55
"111","Naine",44,"25-49","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",237.886,211.467,NA
"112","Mees",57,"50+","Jah","Kesk","Põhi","Jah","Hõivatud","Halb","Akadeemiline kõrg","Kõrge",302.324,"Suurel määral",295.514,278.741,237.97
"113","Mees",37,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Mõningal määral",259.691,279.479,NA
"114","Mees",49,"25-49","Jah","Kesk",NA,"Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",262.44,253.049,NA
"115","Mees",26,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Kesk","Keskmine",280,"Suurel määral",349.723,299.182,341.155
"116","Mees",64,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",354.976,322.522,NA
"117","Mees",19,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",326.751,343.398,362.345
"118","Mees",54,"50+","Jah","Põhi","Kesk","Ei","Töötu","Rahuldav","Kesk","Keskmine",NA,"Üldse mitte",210.088,219.726,NA
"119","Mees",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",723.388,"Mõningal määral",304.137,300.056,NA
"120","Naine",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Halb","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",271.842,304.894,296.891
"121","Mees",44,"25-49","Ei","Põhi","Kesk","Jah","Hõivatud","Rahuldav","Põhi","Madal",486.539,"Suurel määral",308.777,299.265,285.264
"122","Naine",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Väga suurel määral",262.693,301.411,272.985
"123","Naine",27,"25-49","Ei","Kõrg","Kõrg",NA,"Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",355.427,345.53,322.162
"124","Naine",48,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",828,"Suurel määral",254.636,206.197,238.637
"125","Naine",31,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",486.539,"Suurel määral",302.583,313.076,284.183
"126","Naine",30,"25-49","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",265.469,240.886,NA
"127","Naine",63,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",639,"Suurel määral",282.22,277.907,251.137
"128","Naine",43,"25-49","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Suurepärane","Kesk","Keskmine",NA,"Suurel määral",312.809,258.898,261.846
"129","Naine",41,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",881.286,"Suurel määral",317.816,300.937,294.781
"130","Naine",25,"25-49","Ei","Kõrg","Kõrg","Ei","Töötu","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",290.017,257.181,318.629
"131","Naine",22,"16-24","Ei","Kõrg","Kesk","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Väga suurel määral",305.592,299.011,321.633
"132","Mees",40,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",306.562,318.982,293.506
"133","Mees",60,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",274.35,238.337,NA
"134","Naine",58,"50+","Jah","Kesk","Kesk","Ei","Hõivatud","Halb","Põhi","Madal",282.586,"Suurel määral",190.414,202.81,NA
"135","Naine",40,"25-49","Ei","Kesk","Kõrg","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",272,"Väga suurel määral",328.671,300.362,318.894
"136","Mees",54,"50+","Ei",NA,NA,NA,"Mitteaktiivne","Halb","Põhi","Madal",NA,"Suurel määral",150.052,130.045,NA
"137","Naine",45,"25-49","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",692.811,"Mõningal määral",249.808,241.03,NA
"138","Naine",29,"25-49","Jah","Kõrg","Kesk","Ei","Töötu","Rahuldav","Põhi","Madal",NA,"Väga suurel määral",204.348,174.124,214.163
"139","Naine",35,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Põhi","Madal",552.33,"Suurel määral",187.122,191.868,223.173
"140","Naine",62,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",345.415,286.666,NA
"141","Naine",24,"16-24","Ei","Kesk","Kõrg",NA,"Hõivatud","Väga hea","Rakenduskõrg","Kõrge",683.913,"Suurel määral",360.686,310.247,NA
"142","Mees",29,"25-49","Jah","Kõrg","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Suurel määral",238.329,275.709,252.453
"143","Mees",33,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",2460.28,"Mõningal määral",279.517,288.626,310.286
"144","Mees",38,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1733.33,"Suurel määral",311.656,271.204,249.774
"145","Naine",35,"25-49","Ei","Kõrg","Kõrg",NA,"Mitteaktiivne","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",350.572,341.724,328.869
"146","Naine",18,"16-24","Ei","Põhi","Põhi","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Väga suurel määral",295.938,301.736,289.918
"147","Naine",55,"50+","Jah","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",228.031,253.122,244.913
"148","Naine",38,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1933.95,"Suurel määral",189.959,193.993,200.195
"149","Naine",24,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",500,"Suurel määral",307.048,305.937,297.816
"150","Naine",24,"16-24","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",363.149,355.084,338.833
"151","Naine",32,"25-49","Ei","Kesk","Kesk",NA,"Hõivatud","Hea","Rakenduskõrg","Kõrge",1032.61,"Mõningal määral",313.456,315.141,257.16
"152","Naine",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suurepärane","Põhi","Madal",NA,"Suurel määral",294.275,273.036,324.382
"153","Naine",25,"25-49","Ei","Kõrg","Kõrg","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",337.89,309.424,317.882
"154","Naine",42,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",203.74,228.305,205.695
"155","Mees",50,"50+","Jah","Kõrg","Kesk","Jah","Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",275.254,265.443,261.317
"156","Mees",64,"50+","Jah","Põhi",NA,"Jah","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Üldse mitte",214.782,190.494,NA
"157","Naine",49,"25-49","Jah","Kõrg","Kõrg","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",287.875,293.858,279.428
"158","Naine",25,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",335.219,"Väga suurel määral",239.447,240.944,230.877
"159","Mees",65,"50+","Jah","Kesk","Kesk","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1012.87,"Mõningal määral",182.367,192.557,NA
"160","Mees",30,"25-49","Ei","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",881.286,"Mõningal määral",297.195,287.16,268.985
"161","Naine",36,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",NA,"Suurel määral",278.199,322.019,290.142
"162","Naine",58,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Rakenduskõrg","Kõrge",NA,"Üldse mitte",271.317,296.29,NA
"163","Mees",23,"16-24","Ei","Kõrg",NA,"Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1295.77,"Mõningal määral",307.014,345.599,280.674
"164","Naine",33,"25-49","Jah","Kõrg","Kõrg","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",299.569,320.614,349.825
"165","Naine",50,"50+","Jah","Kõrg","Kõrg","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",644.475,"Mõningal määral",288.242,280.131,NA
"166","Naine",50,"50+","Jah","Kõrg","Põhi",NA,"Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",247.566,313.238,229.792
"167","Mees",22,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",348.378,"Üldse mitte",249.039,229.728,NA
"168","Naine",23,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",299.269,255.909,292.054
