"","sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"44","Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Hea","Kesk","Keskmine",2764.667,"Moningal maaral",311.0994,330.2602,285.9232
"45","Naine",57,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",697.071,"Vaga vahe",173.5919,215.3066,219.5971
"46","Mees",37,"25-49","Ei","Kesk","Pohi","Ei","Mitteaktiivne","Rahuldav","Pohi","Madal",NA,"Vaga vahe",301.3307,268.5693,NA
"47","Mees",24,"16-24","Ei","Kesk","Korg",NA,"Hoivatud","Hea","Akadeemiline korg","Korge",1276.034,"Vaga suurel maaral",342.9353,356.6078,338.5317
"48","Naine",42,"25-49","Ei","Pohi","Pohi",NA,"Hoivatud","Hea","Kesk-jargne kutse","Keskmine",749.7039,"Moningal maaral",284.4357,295.0114,259.7144
"49","Mees",18,"16-24","Ei","Korg",NA,"Ei","Mitteaktiivne","Vaga hea","Pohi","Madal",NA,"Vaga suurel maaral",318.0233,319.1088,345.0831
"50","Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",1933.946,"Suurel maaral",266.988,287.6918,272.9345
"51","Mees",23,"16-24","Ei","Pohi","Kesk","Ei","Hoivatud","Hea","Kesk","Keskmine",468.1176,"Vaga vahe",308.5016,319.6895,328.9056
"52","Naine",42,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Pohi","Madal",278,"Moningal maaral",284.2061,265.6834,NA
"53","Mees",62,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Rakenduskorg","Korge",486.5391,"Vaga suurel maaral",253.3643,254.7306,251.9265
"54","Mees",23,"16-24","Ei","Kesk","Korg","Jah","Hoivatud","Hea","Kesk","Keskmine",1250,"Suurel maaral",321.4932,281.1397,352.189
"55","Mees",41,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Hea","Rakenduskorg","Korge",NA,"Suurel maaral",277.8472,278.6648,282.6699
"56","Mees",35,"25-49","Jah","Kesk","Pohi","Jah","Hoivatud","Vaga hea","Pohi","Madal",1183.174,"Moningal maaral",227.107,240.6601,262.0869
"57","Mees",38,"25-49","Ei","Korg","Kesk","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",NA,"Moningal maaral",316.9578,288.2781,282.8592
"58","Naine",48,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Kesk","Keskmine",174,"Moningal maaral",239.4353,224.116,243.7043
"59","Naine",58,"50+","Jah","Korg","Korg","Jah","Hoivatud","Rahuldav","Akadeemiline korg","Korge",850,"Moningal maaral",370.5358,364.8641,336.1685
"60","Naine",57,"50+","Jah","Pohi","Kesk","Jah","Hoivatud","Hea","Akadeemiline korg","Korge",1000,"Suurel maaral",318.7856,322.7095,307.1709
"61","Mees",45,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Hea","Rakenduskorg","Korge",NA,"Moningal maaral",251.2575,296.6581,249.1139
"62","Naine",65,"50+","Jah","Pohi","Pohi","Ei","Mitteaktiivne","Rahuldav","Rakenduskorg","Korge",NA,"Moningal maaral",247.6447,203.2066,NA
"63","Naine",51,"50+","Jah","Kesk","Pohi","Jah","Tootu","Hea","Kesk","Keskmine",NA,"Vaga vahe",326.4616,299.8428,NA
"64","Naine",16,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Hea","Pohi","Madal",NA,"Suurel maaral",321.4514,272.5702,288.3885
"65","Mees",59,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",618.1215,"Suurel maaral",289.5287,253.6453,NA
"66","Mees",32,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Suureparane","Akadeemiline korg","Korge",1276.034,"Vaga suurel maaral",385.298,378.691,351.7235
"67","Naine",56,"50+","Jah","Pohi","Pohi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Moningal maaral",295.1535,271.0118,NA
"68","Mees",36,"25-49","Jah","Korg","Kesk","Jah","Hoivatud","Suureparane","Akadeemiline korg","Korge",881.2864,"Suurel maaral",267.4619,277.0207,NA
"69","Mees",20,"16-24","Ei","Korg","Kesk","Jah","Hoivatud","Hea","Kesk","Keskmine",585,"Moningal maaral",320.0252,300.4227,313.7175
"70","Mees",49,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk-jargne kutse","Keskmine",290,"Vaga vahe",168.6561,197.089,NA
"71","Mees",44,"25-49","Ei","Kesk","Kesk","Ei","Hoivatud","Rahuldav","Pohi","Madal",NA,"Moningal maaral",243.5892,272.3026,212.7782
"72","Mees",46,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Kesk","Keskmine",1040,"Vaga vahe",283.7337,258.4576,270.9459
"73","Naine",34,"25-49","Jah","Korg",NA,"Ei","Tootu","Hea","Pohi","Madal",NA,"Suurel maaral",295.9254,280.7189,NA
"74","Naine",25,"25-49","Jah","Kesk","Korg","Jah","Mitteaktiivne","Hea","Rakenduskorg","Korge",NA,"Vaga suurel maaral",271.5977,271.1211,309.567
"75","Naine",46,"25-49","Jah","Pohi","Kesk",NA,"Hoivatud","Rahuldav","Kesk","Keskmine",749.7039,"Suurel maaral",169.8218,189.2263,160.295
"76","Naine",63,"50+","Jah","Pohi","Pohi","Jah","Mitteaktiivne","Hea","Pohi","Madal",NA,"Uldse mitte",223.2342,273.5806,NA
"77","Naine",54,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",460.2226,"Uldse mitte",250.0267,232.2837,NA
"78","Naine",20,"16-24","Ei","Korg","Korg","Ei","Tootu","Vaga hea","Kesk","Keskmine",NA,"Vaga suurel maaral",340.0033,374.4225,363.5444
"79","Naine",46,"25-49","Jah","Kesk","Pohi","Jah","Hoivatud","Suureparane","Akadeemiline korg","Korge",1144.451,"Suurel maaral",340.9991,304.6226,293.7664
"80","Naine",43,"25-49","Jah","Pohi","Pohi","Ei","Hoivatud","Hea","Kesk","Keskmine",NA,"Moningal maaral",292.4001,306.395,249.7452
"81","Naine",62,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Rahuldav","Rakenduskorg","Korge",NA,"Suurel maaral",248.3047,278.4818,250.687
"82","Mees",17,"16-24","Ei","Korg","Korg","Ei","Mitteaktiivne","Suureparane","Pohi","Madal",NA,"Suurel maaral",273.5051,279.2038,271.5662
"83","Mees",31,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Vaga hea","Kesk","Keskmine",1407.616,"Suurel maaral",287.4983,290.1528,310.3498
"84","Mees",50,"50+","Jah","Pohi","Pohi",NA,"Tootu","Hea","Kesk","Keskmine",NA,"Suurel maaral",149.1327,136.444,NA
"85","Mees",27,"25-49","Ei","Kesk","Kesk",NA,"Hoivatud","Hea","Kesk","Keskmine",520,"Suurel maaral",297.3454,314.2106,308.4436
"86","Mees",22,"16-24","Ei","Kesk","Korg","Jah","Hoivatud","Hea","Kesk","Keskmine",NA,"Vaga suurel maaral",399.2303,394.359,338.2662
"87","Naine",16,"16-24","Ei","Kesk","Korg","Ei","Mitteaktiivne","Hea","Pohi","Madal",NA,"Moningal maaral",323.0902,292.5728,306.0165
"88","Naine",23,"16-24","Jah","Korg","Kesk","Jah","Hoivatud","Hea","Kesk","Keskmine",933.9193,"Suurel maaral",294.4466,279.3077,307.8772
"89","Naine",19,"16-24","Ei","Kesk","Pohi","Ei","Mitteaktiivne","Suureparane","Kesk","Keskmine",NA,"Suurel maaral",286.2141,255.3129,272.3433
"90","Naine",26,"25-49","Jah","Korg","Pohi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Uldse mitte",223.0794,216.3157,NA
"91","Mees",52,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Vaga hea","Kesk","Keskmine",1407.616,"Suurel maaral",252.3943,275.6899,243.2937
"92","Mees",59,"50+","Jah","Pohi","Korg","Jah","Hoivatud","Rahuldav","Kesk","Keskmine",NA,"Moningal maaral",276.6368,270.6643,NA
"93","Naine",26,"25-49","Jah","Kesk","Kesk","Ei","Hoivatud","Hea","Akadeemiline korg","Korge",728,"Suurel maaral",295.9942,229.0781,242.3302
"94","Naine",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suureparane","Pohi","Madal",NA,"Vaga vahe",236.8749,215.5136,233.1865
"95","Naine",60,"50+","Jah","Pohi","Pohi","Ei","Hoivatud","Hea","Kesk","Keskmine",439.1695,"Moningal maaral",258.8376,235.2834,224.3396
"96","Naine",61,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Akadeemiline korg","Korge",618.1215,"Moningal maaral",246.9383,283.1152,218.5121
"97","Mees",44,"25-49","Jah","Pohi","Pohi",NA,"Hoivatud","Hea","Kesk","Keskmine",449.696,"Suurel maaral",282.7312,275.6531,NA
"98","Mees",50,"50+","Jah","Kesk","Korg","Jah","Hoivatud","Vaga hea","Rakenduskorg","Korge",NA,"Suurel maaral",313.0378,294.3338,274.4446
"99","Mees",48,"25-49","Jah","Kesk","Pohi","Jah","Hoivatud","Rahuldav","Rakenduskorg","Korge",618.1215,"Vaga suurel maaral",217.4307,221.0258,204.5407
"100","Mees",43,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Pohi","Madal",730,"Moningal maaral",253.9481,263.9477,270.1119
"101","Naine",30,"25-49","Jah","Korg","Korg","Jah","Mitteaktiivne","Rahuldav","Rakenduskorg","Korge",NA,"Vaga suurel maaral",301.4901,289.1508,NA
"102","Mees",35,"25-49","Jah","Pohi","Kesk","Jah","Hoivatud","Suureparane","Pohi","Madal",NA,"Suurel maaral",231.1785,273.9814,221.993
"103","Mees",61,"50+","Jah","Korg","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Vaga vahe",217.8968,205.427,174.7126
"104","Mees",18,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suureparane","Pohi","Madal",NA,"Suurel maaral",253.0226,210.7417,192.808
"105","Naine",52,"50+","Jah","Kesk","Pohi","Ei","Hoivatud","Hea","Rakenduskorg","Korge",341.7985,"Suurel maaral",299.4257,307.687,NA
"106","Mees",46,"25-49","Jah","Kesk","Pohi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Moningal maaral",277.6727,267.1039,NA
"107","Naine",29,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Vaga hea","Akadeemiline korg","Korge",618.1215,"Suurel maaral",306.3787,266.8114,304.455
"108","Mees",20,"16-24","Ei","Korg","Kesk","Ei","Hoivatud","Hea","Kesk","Keskmine",683.9127,"Moningal maaral",342.5794,305.9925,281.0391
"109","Mees",37,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Suureparane","Akadeemiline korg","Korge",1200,"Moningal maaral",341.9443,333.2612,297.4257
"110","Mees",29,"25-49","Jah","Korg","Korg","Jah","Mitteaktiivne","Vaga hea","Kesk","Keskmine",NA,"Moningal maaral",296.6541,299.9649,297.55
"111","Naine",44,"25-49","Jah","Kesk","Pohi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Moningal maaral",237.8864,211.4668,NA
"112","Mees",57,"50+","Jah","Kesk","Pohi","Jah","Hoivatud","Halb","Akadeemiline korg","Korge",302.3237,"Suurel maaral",295.5145,278.7414,237.9703
"113","Mees",37,"25-49","Jah","Pohi","Pohi","Jah","Mitteaktiivne","Suureparane","Pohi","Madal",NA,"Moningal maaral",259.6913,279.4789,NA
"114","Mees",49,"25-49","Jah","Kesk",NA,"Jah","Hoivatud","Hea","Rakenduskorg","Korge",NA,"Suurel maaral",262.4396,253.0488,NA
"115","Mees",26,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Vaga hea","Kesk","Keskmine",280,"Suurel maaral",349.7234,299.1821,341.1549
"116","Mees",64,"50+","Jah","Pohi","Pohi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Moningal maaral",354.9763,322.5215,NA
"117","Mees",19,"16-24","Ei","Korg","Korg","Ei","Mitteaktiivne","Hea","Pohi","Madal",NA,"Suurel maaral",326.7508,343.3983,362.3446
"118","Mees",54,"50+","Jah","Pohi","Kesk","Ei","Tootu","Rahuldav","Kesk","Keskmine",NA,"Uldse mitte",210.0878,219.7263,NA
"119","Mees",58,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Kesk","Keskmine",723.3875,"Moningal maaral",304.137,300.0558,NA
"120","Naine",58,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Halb","Akadeemiline korg","Korge",NA,"Vaga suurel maaral",271.8417,304.8939,296.8914
"121","Mees",44,"25-49","Ei","Pohi","Kesk","Jah","Hoivatud","Rahuldav","Pohi","Madal",486.5391,"Suurel maaral",308.7769,299.2648,285.2638
"122","Naine",58,"50+","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Kesk","Keskmine",NA,"Vaga suurel maaral",262.6935,301.4107,272.9849
"123","Naine",27,"25-49","Ei","Korg","Korg",NA,"Mitteaktiivne","Hea","Akadeemiline korg","Korge",NA,"Suurel maaral",355.4266,345.5303,322.1616
"124","Naine",48,"25-49","Jah","Pohi","Pohi","Ei","Hoivatud","Rahuldav","Akadeemiline korg","Korge",828,"Suurel maaral",254.6362,206.1968,238.6371
"125","Naine",31,"25-49","Jah","Kesk","Kesk","Ei","Hoivatud","Suureparane","Akadeemiline korg","Korge",486.5391,"Suurel maaral",302.5826,313.0763,284.1825
"126","Naine",30,"25-49","Ei","Korg","Korg","Ei","Mitteaktiivne","Rahuldav","Pohi","Madal",NA,"Moningal maaral",265.4691,240.8859,NA
"127","Naine",63,"50+","Jah","Pohi","Pohi","Ei","Hoivatud","Rahuldav","Akadeemiline korg","Korge",639,"Suurel maaral",282.22,277.9069,251.1369
"128","Naine",43,"25-49","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Suureparane","Kesk","Keskmine",NA,"Suurel maaral",312.8088,258.8976,261.8461
"129","Naine",41,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Suureparane","Rakenduskorg","Korge",881.2864,"Suurel maaral",317.8164,300.937,294.781
"130","Naine",25,"25-49","Ei","Korg","Korg","Ei","Tootu","Vaga hea","Akadeemiline korg","Korge",NA,"Vaga suurel maaral",290.0168,257.1813,318.6287
"131","Naine",22,"16-24","Ei","Korg","Kesk","Ei","Mitteaktiivne","Hea","Pohi","Madal",NA,"Vaga suurel maaral",305.5925,299.011,321.6326
"132","Mees",40,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Hea","Rakenduskorg","Korge",NA,"Suurel maaral",306.5618,318.9819,293.5063
"133","Mees",60,"50+","Jah","Pohi","Pohi",NA,"Mitteaktiivne","Rahuldav","Pohi","Madal",NA,"Moningal maaral",274.3501,238.3368,NA
"134","Naine",58,"50+","Jah","Kesk","Kesk","Ei","Hoivatud","Halb","Pohi","Madal",282.5864,"Suurel maaral",190.4144,202.8101,NA
"135","Naine",40,"25-49","Ei","Kesk","Korg","Ei","Hoivatud","Suureparane","Kesk","Keskmine",272,"Vaga suurel maaral",328.6711,300.3618,318.8943
"136","Mees",54,"50+","Ei",NA,NA,NA,"Mitteaktiivne","Halb","Pohi","Madal",NA,"Suurel maaral",150.0524,130.0447,NA
"137","Naine",45,"25-49","Jah","Pohi","Pohi","Ei","Hoivatud","Rahuldav","Kesk","Keskmine",692.8105,"Moningal maaral",249.8082,241.0298,NA
"138","Naine",29,"25-49","Jah","Korg","Kesk","Ei","Tootu","Rahuldav","Pohi","Madal",NA,"Vaga suurel maaral",204.3479,174.1241,214.1629
"139","Naine",35,"25-49","Jah","Pohi","Kesk","Jah","Hoivatud","Hea","Pohi","Madal",552.3303,"Suurel maaral",187.1223,191.8676,223.1732
"140","Naine",62,"50+","Jah","Korg","Korg","Jah","Hoivatud","Rahuldav","Akadeemiline korg","Korge",NA,"Suurel maaral",345.4147,286.666,NA
"141","Naine",24,"16-24","Ei","Kesk","Korg",NA,"Hoivatud","Vaga hea","Rakenduskorg","Korge",683.9127,"Suurel maaral",360.6857,310.2468,NA
"142","Mees",29,"25-49","Jah","Korg","Pohi","Jah","Hoivatud","Hea","Kesk","Keskmine",NA,"Suurel maaral",238.3293,275.7091,252.4529
"143","Mees",33,"25-49","Jah","Korg","Korg","Jah","Hoivatud","Vaga hea","Akadeemiline korg","Korge",2460.275,"Moningal maaral",279.5172,288.6261,310.2859
"144","Mees",38,"25-49","Jah","Kesk","Pohi","Jah","Hoivatud","Vaga hea","Kesk","Keskmine",1733.333,"Suurel maaral",311.656,271.2038,249.7742
"145","Naine",35,"25-49","Ei","Korg","Korg",NA,"Mitteaktiivne","Vaga hea","Akadeemiline korg","Korge",NA,"Suurel maaral",350.572,341.7241,328.8691
"146","Naine",18,"16-24","Ei","Pohi","Pohi","Ei","Mitteaktiivne","Vaga hea","Pohi","Madal",NA,"Vaga suurel maaral",295.9379,301.7364,289.9179
"147","Naine",55,"50+","Jah","Kesk","Kesk","Ei","Hoivatud","Rahuldav","Rakenduskorg","Korge",NA,"Vaga suurel maaral",228.0309,253.122,244.9133
"148","Naine",38,"25-49","Jah","Kesk","Kesk","Jah","Hoivatud","Hea","Akadeemiline korg","Korge",1933.946,"Suurel maaral",189.959,193.9931,200.1947
"149","Naine",24,"16-24","Ei","Kesk","Kesk","Ei","Hoivatud","Hea","Rakenduskorg","Korge",500,"Suurel maaral",307.0482,305.9374,297.8161
"150","Naine",24,"16-24","Jah","Kesk","Pohi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel maaral",363.149,355.0844,338.8326
"151","Naine",32,"25-49","Ei","Kesk","Kesk",NA,"Hoivatud","Hea","Rakenduskorg","Korge",1032.606,"Moningal maaral",313.4561,315.1408,257.1599
"152","Naine",17,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Suureparane","Pohi","Madal",NA,"Suurel maaral",294.2753,273.0361,324.3824
"153","Naine",25,"25-49","Ei","Korg","Korg","Ei","Hoivatud","Vaga hea","Akadeemiline korg","Korge",NA,"Vaga suurel maaral",337.8898,309.424,317.882
"154","Naine",42,"25-49","Jah","Kesk","Kesk","Ei","Hoivatud","Rahuldav","Rakenduskorg","Korge",NA,"Suurel maaral",203.7401,228.3055,205.6953
"155","Mees",50,"50+","Jah","Korg","Kesk","Jah","Mitteaktiivne","Hea","Akadeemiline korg","Korge",NA,"Suurel maaral",275.2544,265.4431,261.3168
"156","Mees",64,"50+","Jah","Pohi",NA,"Jah","Mitteaktiivne","Rahuldav","Pohi","Madal",NA,"Uldse mitte",214.7824,190.4937,NA
"157","Naine",49,"25-49","Jah","Korg","Korg","Ei","Hoivatud","Hea","Rakenduskorg","Korge",NA,"Suurel maaral",287.8755,293.8576,279.4285
"158","Naine",25,"25-49","Jah","Kesk","Korg","Jah","Hoivatud","Hea","Kesk","Keskmine",335.2194,"Vaga suurel maaral",239.4474,240.9439,230.8768
"159","Mees",65,"50+","Jah","Kesk","Kesk","Ei","Hoivatud","Hea","Akadeemiline korg","Korge",1012.869,"Moningal maaral",182.3674,192.5568,NA
"160","Mees",30,"25-49","Ei","Kesk","Kesk","Jah","Hoivatud","Hea","Kesk","Keskmine",881.2864,"Moningal maaral",297.1949,287.1598,268.9849
"161","Naine",36,"25-49","Jah","Pohi","Pohi","Jah","Hoivatud","Hea","Pohi","Madal",NA,"Suurel maaral",278.1989,322.0192,290.1418
"162","Naine",58,"50+","Jah","Pohi","Pohi","Jah","Mitteaktiivne","Halb","Rakenduskorg","Korge",NA,"Uldse mitte",271.3167,296.2899,NA
"163","Mees",23,"16-24","Ei","Korg",NA,"Ei","Hoivatud","Vaga hea","Akadeemiline korg","Korge",1295.771,"Moningal maaral",307.0144,345.5993,280.6743
"164","Naine",33,"25-49","Jah","Korg","Korg","Ei","Hoivatud","Vaga hea","Akadeemiline korg","Korge",NA,"Suurel maaral",299.5691,320.6139,349.8253
"165","Naine",50,"50+","Jah","Korg","Korg","Ei","Hoivatud","Rahuldav","Akadeemiline korg","Korge",644.4749,"Moningal maaral",288.2424,280.1311,NA
"166","Naine",50,"50+","Jah","Korg","Pohi",NA,"Mitteaktiivne","Rahuldav","Rakenduskorg","Korge",NA,"Moningal maaral",247.5665,313.238,229.7921
